Group num: 0, TC(X;Y_j): 284.094
comp105313_c0_seq1, 0.439
comp167727_c0_seq1, 0.438
comp483519_c0_seq1, 0.438
comp320820_c0_seq1, 0.438
comp270140_c0_seq1, 0.437
comp245896_c0_seq1, 0.437
comp20328_c0_seq1, 0.437
comp401263_c0_seq2, 0.437
comp99606_c0_seq1, 0.436
comp271686_c0_seq1, 0.436
comp217791_c0_seq1, 0.436
comp147572_c0_seq1, 0.436
comp249118_c0_seq2, 0.436
comp10719_c3_seq1, 0.435
comp438077_c0_seq1, 0.435
comp339444_c0_seq1, 0.434
comp63850_c0_seq1, 0.434
comp444043_c0_seq1, 0.434
comp15183_c0_seq1, 0.433
comp89318_c0_seq1, 0.432
comp214399_c0_seq1, 0.432
comp132075_c0_seq1, 0.432
comp290683_c0_seq2, 0.431
comp57999_c0_seq1, 0.431
comp249306_c0_seq1, 0.430
comp427872_c0_seq1, 0.430
comp148376_c0_seq1, 0.430
comp399618_c0_seq1, 0.428
comp32335_c0_seq1, 0.427
comp20540_c0_seq1, 0.427
comp73484_c0_seq1, 0.426
comp468638_c0_seq1, 0.426
comp162915_c0_seq1, 0.426
comp379544_c0_seq1, 0.426
comp316222_c0_seq1, 0.425
comp39936_c0_seq1, 0.425
comp29209_c1_seq1, 0.425
comp170214_c0_seq1, 0.425
comp244584_c0_seq1, 0.425
comp25991_c1_seq1, 0.424
comp203473_c0_seq1, 0.424
comp254068_c0_seq1, 0.424
comp84466_c1_seq1, 0.423
comp29109_c0_seq1, 0.422
comp190222_c0_seq4, 0.422
comp322298_c0_seq1, 0.421
comp235923_c0_seq1, 0.421
comp500618_c0_seq1, 0.421
comp43791_c1_seq1, 0.419
comp132126_c0_seq2, 0.419
comp188041_c0_seq1, 0.417
comp364573_c0_seq1, 0.415
comp4594_c0_seq1, 0.415
comp102183_c0_seq1, 0.415
comp246503_c0_seq1, 0.414
comp428380_c0_seq1, 0.414
comp429_c49_seq29, 0.414
comp410613_c0_seq1, 0.413
comp117148_c1_seq1, 0.413
comp392047_c0_seq1, 0.413
comp19700_c0_seq1, 0.412
comp100975_c0_seq1, 0.411
comp182017_c0_seq1, 0.411
comp49320_c0_seq1, 0.410
comp228829_c0_seq2, 0.410
comp148149_c0_seq1, 0.410
comp82971_c0_seq2, 0.410
comp207451_c0_seq1, 0.410
comp13965_c0_seq1, 0.409
comp191797_c0_seq1, 0.409
comp287181_c0_seq1, 0.409
comp74519_c0_seq2, 0.409
comp40421_c0_seq1, 0.408
comp257743_c0_seq1, 0.408
comp73116_c0_seq1, 0.407
comp200273_c0_seq1, 0.407
comp257937_c0_seq1, 0.407
comp351018_c1_seq1, 0.406
comp4361_c1_seq8, 0.406
comp187005_c0_seq1, 0.405
comp324134_c0_seq1, 0.403
comp7018_c0_seq1, 0.403
comp496314_c0_seq1, 0.403
comp306603_c0_seq1, 0.403
comp357998_c0_seq2, 0.403
comp177444_c0_seq1, 0.402
comp216826_c0_seq1, 0.402
comp189431_c0_seq1, 0.402
comp160318_c0_seq1, 0.401
comp205963_c0_seq6, 0.401
comp28192_c0_seq3, 0.398
comp374955_c0_seq1, 0.398
comp261215_c0_seq1, 0.398
comp191051_c0_seq1, 0.397
